id,name,civilization_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start_year,end_year,policies,note
sumerian_city_states,"Sumerian City-States (Ur, Uruk, Lagash)",,sumerian,sumerian,mesopotamian_religion,city_state,mesopotamia,-3500,-2334,,
berber,Berber / Mauretania,,berber_amazigh_cluster,berber,,tribal_confederation,north_africa,-3000,-200,,
elam,Kingdom of Elam,,persian,elamite,ancient_near_eastern_religion,monarchy,iran_plateau,-2700,-539,,"One of the oldest civilisations in Iran, centred on Susa. Rivalled Mesopotamian powers for millennia. The ziggurat of Chogha Zanbil (c.1250 BCE) is a UNESCO World Heritage Site. Elamite sacked Babylon and captured the Code of Hammurabi. Absorbed into the Achaemenid Empire."
old_kingdom_egypt,Old Kingdom Egypt,,egyptian,old_egyptian,egyptian_religion,divine_monarchy,egypt|nubia,-2686,-2181,,
punt,Punt (Egyptian trading land),,punt_people,,,monarchy,nubia,-2500,-1000,,
akkadian_empire,Akkadian Empire,,akkadian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-2334,-2154,,
gutian_dynasty,Gutian dynasty,,gutian,,,monarchy,mesopotamia|iran_plateau,-2141,-2050,,
ur_iii,Third Dynasty of Ur (Neo-Sumerian),,sumerian,sumerian,mesopotamian_religion,divine_monarchy,mesopotamia,-2112,-2004,,
beja,Beja / Habesha coastal lords,,beja,,,tribal_confederation,nubia,-2000,1500,,
old_babylonian,Old Babylonian Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia,-1894,-1595,,
hittite_empire,Hittite Empire,,hittite,hittite,anatolian_paganism,imperial_monarchy,anatolia,-1600,-1180,,The dominant Anatolian power of the Bronze Age. Their sudden collapse (~1180 BC) during the Bronze Age Collapse remains one of history's great mysteries.
shang_dynasty,Shang Dynasty,,han_chinese,old_chinese,chinese_folk_religion,divine_monarchy,yellow_river,-1600,-1046,,
egyptian_new_kingdom,Egyptian New Kingdom,,egyptian,late_egyptian_demotic,egyptian_religion,divine_monarchy,egypt|levant|nubia,-1550,-1069,,
new_kingdom_egypt,New Kingdom Egypt,,egyptian,old_egyptian,egyptian_religion,divine_monarchy,egypt|nubia|levant,-1550,-1070,,
mitanni_empire,Mitanni Empire,,hurrian,hurrian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-1500,-1300,,"Hurrian-speaking empire in northern Mesopotamia. The ruling elite used Indo-Aryan names and worshipped Vedic deities (Mitra, Varuna, Indra) — evidence of early Indo-Aryan migration. Major rival of Egypt and the Hittites. Destroyed by the Assyrians."
olmec,Olmec Civilization,,mesoamerican_cluster,,indigenous_american_traditions,tribal_confederation,mesoamerica,-1500,-400,,Mother culture of Mesoamerica
middle_assyrian_empire,Middle Assyrian Empire,,assyrian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|anatolia|levant,-1392,-1056,,
kingdom_of_saba,Kingdom of Saba (Sheba),,semitic_cluster,old_south_arabian,south_arabian_religion,monarchy,arabia,-1200,-275,,"Ancient South Arabian kingdom — the Biblical Queen of Sheba's realm. Controlled the lucrative frankincense and myrrh trade. Built the Great Dam of Ma'rib, one of the engineering wonders of the ancient world. The dam's final collapse (c.570 CE) is mentioned in the Quran."
phoenician_states,"Phoenician City-States (Tyre, Sidon, Byblos)",,phoenician,phoenician_punic,canaanite_religion,city_state,levant,-1200,-332,,
kingdom_of_israel,United Kingdom of Israel,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-1047,-930,,
zhou_dynasty,Zhou Dynasty,,han_chinese,old_chinese,chinese_folk_religion,feudal_monarchy,yellow_river|yangtze,-1046,-256,,"Late Zhou (Warring States) produced Confucius, Laozi, Mencius, Han Fei — the foundational philosophical schools that would define all subsequent Chinese governance"
histri,Histri,,ancient_european,,,tribal_confederation,balkans|italy,-1000,-177,,
illyrians,Illyrians,,ancient_european,,,tribal_confederation,balkans,-1000,-168,,
kingdom_of_judah,Kingdom of Judah,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-930,-586,,
neo_assyrian_empire,Neo-Assyrian Empire,,assyrian,assyrian_dialect,mesopotamian_religion,imperial_monarchy,mesopotamia|levant|egypt|anatolia,-911,-609,,
saka,Saka / Massagetae,,scythian,,scythian_religion,tribal_confederation,central_asian_steppe|khorasan,-900,-200,,
